"Years","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"High school dropout rate (%)","0.272",,,,,,,"0.17","0.162","0.152","0.149616976595445","0.147","0.146","0.141","0.143","0.139031996485994","0.141420508245429","0.141097681897405","0.14232003005761","0.145708837286541","0.14069662564526","0.139196187283697","0.138687730129697","0.136687799576413","0.131407031343229","0.125763975335932","0.122030159255846","0.126451587908263","0.128669708112469","0.126161483639719","0.120746302833699","0.124503737448269","0.11019595978568","0.110100113470579","0.114451246321747","0.119700752904832","0.111264103884325","0.109964336950165","0.117872715657069","0.111986267346335","0.10932903260816","0.107167753127972","0.104888609700627","0.098688615715589","0.103162764347867","0.094056585863308","0.093452953959488","0.087446869008713","0.080112853418057","0.080539012493962","0.074210126104322","0.071026513024699","0.066039981889762","0.067580882864886","0.065369473831795","0.058555815131718","0.060839847181398","0.05773088047159","0.057016088926845","0.052211812361433","0.052834458119623"
"    Percentage distribution of high school dropouts by employment status",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"        Employed (%)",,,,,,,,,,,"0.498033426663985",,,,,"0.460219798897689","0.488301813610369","0.52875183204532","0.542940124395203","0.540044022287708","0.503992568234315","0.497621632006521","0.451977135152863","0.484139757214511","0.497381352392926","0.50072027931435","0.511102248646529","0.524270421645533","0.528863949591725","0.532352692803268","0.524634906002041","0.475195998047879","0.475850067421213","0.486632371821298","0.494967753153976","0.488591519024542","0.473444485710464","0.533362248615695","0.551398623748955","0.55592530339229","0.569297370884931","0.583021122683648","0.574235864785313","0.534640135342525","0.529946999351798","0.569060989195962","0.563619604023707","0.554953259271913","0.468454927048555","0.431794232238731","0.458002522760003","0.497796463689596","0.448178638426305","0.411329540832808","0.446852419704552","0.417266427826758","0.465558234467373","0.467372605664775","0.506766262318803","0.503275603830112","0.524417171600761"
"        Unemployed (%)",,,,,,,,,,,"0.103061790489997",,,,,"0.155589388132435","0.159561294923184","0.135562608347568","0.124202583568616","0.126953470022258","0.170181180752451","0.183294760123377","0.210974461996034","0.181551899261678","0.173283828197348","0.174843438404613","0.163755330957528","0.135603962699224",,"0.138011724001812","0.133345010371053","0.15777269534485","0.14977275033388","0.128120399053015","0.130048414545724","0.141693351776182","0.149873750906675","0.131783054816809","0.102829715821002","0.997572234891498","0.122619553687422","0.148415400385594","0.133275169311329","0.136753046347044","0.143049968360002","0.11867696515151","0.11672539039609","0.11185337026647","0.163025676693702","0.198931056451178","0.187272301877","0.160489327495818","0.181085479920204","0.168098746739876","0.170064961476747","0.14189666347324","0.138734836819456","0.083154659500865","0.084984448692033","0.086357485580519","0.061903460137999"
"        Not in labor force (%)",,,,,,,,,,,"0.398904782846018",,,,,"0.384190812969876","0.352136891466447","0.335685559607113","0.33285729203618","0.333002507690034","0.325826251013235","0.319083607870102","0.337048402851104","0.334308343523811","0.329334819409726","0.324436282281036","0.325142420395943","0.340125615655243",,"0.329635583194921","0.342020083626905","0.367031306607272","0.374377182244906","0.385247229125688","0.3749838323003","0.369715129199276","0.376681763382861","0.334854696567497","0.345771660430043","0.34431747311856","0.308083075427647","0.268563476930758","0.292488965903358","0.328606818310431","0.3270030322882","0.312262045652529","0.319655005580202","0.333193370461618","0.368519396257742","0.369274711310092","0.354725175362997","0.341714208814587","0.37073588165349","0.420571712427317","0.383082618818701","0.440836908700002","0.395706928713171","0.44947273483436","0.408249288989163","0.410366910589368","0.413679368261239"
"    By race / ethnicity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"        White (%)",,,,,,,,"0.1543","0.1469","0.1364","0.131740406234518","0.134149021906367","0.122617990157552","0.116226006182583","0.118665762971317","0.114297202460315","0.119601135088677","0.118833880452949","0.118787307185514","0.120016699558943","0.11365364104197","0.113467640704412","0.114425314936134","0.1114944339436","0.110314800155902","0.104299777242424","0.096889378682652","0.103671914141383","0.09623579576646","0.093778577737132","0.089771413570466","0.089233133516182","0.077262472067812","0.079382094240326","0.077384742755123","0.085813349597166","0.072879493672109","0.075965533094011","0.07741587652153","0.07299942820501","0.069280829815772","0.073229166443808","0.065161060801896","0.063431945519615","0.06751852478666","0.059550240822618","0.058485369767286","0.05271770878336","0.048064043457178","0.05208665814475","0.05071469842581","0.050174061112659","0.04285463173349","0.051070715513532","0.052321505123773","0.045619164033685","0.051906413440482","0.046448090114468","0.044644852978253","0.045299962836099","0.047722899652154"
"        Black (%)",,,,,,,,"0.2859","0.2737","0.2674","0.2786","0.24","0.213260353119325","0.221881704172843","0.21151098190048","0.229022883241576","0.204925925750321","0.197826080698694","0.202406630549246","0.211237069892363","0.191255699102851","0.184057040097968","0.183701378819398","0.179677132907281","0.155124186351006","0.151504392426612","0.141907350267191","0.141088350997602","0.14491964541634","0.139096955289759","0.132368216438395","0.136002452499579","0.137191849025129","0.135573188927218","0.126385441068494","0.120611307424975","0.129709606616489","0.13389778970421","0.137956023137973","0.125595504735914","0.131073561608002","0.108918990198748","0.112912761423331","0.109407334961752","0.117695625853768","0.104446417142726","0.107366553139478","0.08411203434444","0.09934512393235","0.0933176154658","0.080204855966784","0.073396843055278","0.075436778603716","0.073434651503365","0.074168522893883","0.064682861627084","0.061860759652558","0.056711184833269","0.058111306141601","0.056166595265666","0.041818813106772"
"        Hispanic (%)",,,,,,,,,,,,,"0.343063488530023","0.335342526366656","0.32982003960532","0.292185651943391","0.313649145156404","0.329962776468549","0.33314396273553","0.33764092583663","0.351592416899721","0.331802527971007","0.316729654630962","0.31559867797986","0.297870884679339","0.27591469909785","0.30121234373874","0.286340485014923","0.357525981582567","0.330051733479199","0.323655851203956","0.352759010289029","0.293989784500902","0.27515748593287","0.299651076616012","0.29987984963033","0.293516604443845","0.25316585256577","0.29536589794518","0.285576207282179","0.277920850493467","0.269611049351549","0.256898664241203","0.235445808750802","0.237880480128827","0.224475970839917","0.220675255408318","0.214373082584429","0.183280265391743","0.17601842101184","0.151487063880398","0.135898508111082","0.126813177245396","0.117235370565533","0.105704286391279","0.091655844117139","0.085867669597834","0.094577646855186","0.089598506594977","0.074643028457275","0.073664094785587"
"        Asian (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.034910724286309","0.027140425025144","0.036607889319039",,"0.045168705943128","0.020680708937178","0.040547304131155","0.043377008730969",,"0.031887520450799","0.010452219064304","0.03432405019272","0.02915065739391","0.019815551782001","0.040641318898141","0.026256856552738","0.023610016879511"
"        Pacific Islander (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.184381258706059",,"0.043742851653757",,,"0.121130024165743",,"0.181535712725845",,"0.084111166337779",,
"        American Indian/Alaska Native (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.170006810022103","0.140118846133842","0.147304437356678",,"0.146353684142761","0.132399139810015","0.124248307173724","0.150055688153664",,"0.070269182749211","0.156760873696948","0.143753934121701","0.182396208909779","0.123346708235242","0.059192127014526","0.055533180805507","0.114842058323933"
"        Two or more races (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.060906268778263","0.082360776949222","0.069703053933345",,"0.041918121627777","0.0653156703571","0.05373544028742","0.04648217473438",,"0.057413116415939","0.027238322618414","0.04460511796911","0.03403504807812","0.032372443726101","0.049129924038369","0.032634760634403","0.065413429893335"
"    By gender",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"        Men (%)","0.278",,,,,,,"0.1648","0.1584","0.1426","0.1418","0.141908493259845","0.140972255653386","0.13661179282591","0.141959759878876","0.132797636632201","0.141319415532796","0.14451414976273","0.146301444659311","0.139663541901965","0.150839353702476","0.151140694666153","0.144997045378526","0.14853912601626","0.140247196181055","0.134038598152972","0.130666519201238","0.131762404735704","0.135342480866541","0.135917513545467","0.123163075732164","0.129840658759043","0.113309065801036","0.111708042982742","0.122650759091094","0.122034093015186","0.113770593968831","0.118545384043828","0.132960787815606","0.118798731170804","0.1964141056029","0.121895524938291","0.117832631984214","0.113012282537254","0.116264932928476","0.108297126782093","0.103448426905284","0.098136239289722","0.084781018242032","0.091326664027616","0.084946140823143","0.077245411236628","0.072975438414823","0.071888216566573","0.071267535990575","0.062895407142161","0.070879160136736","0.065824424155513","0.063418997066593","0.058827224725903","0.061967928735637"
"            By race / ethnicity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                White (%)",,,,,,,,"0.1468","0.1437","0.1258","0.1215","0.126118546845124","0.116493176637058","0.114576534370253","0.119863122893152","0.110043974265307","0.121240293733066","0.125954809634083","0.121742904719073","0.125557013256691","0.12267373038769","0.124856778318633","0.12048496222892","0.122008708255804","0.119467217159205","0.110562398600917","0.102677304032921","0.107708097604213","0.103498725657404","0.102574740919888","0.092905087079077","0.089412944928303","0.080038840569107","0.082308024789679","0.07988893816982","0.090033832678574","0.073100002630058","0.084873912074821","0.085824527890141","0.077075491807491","0.069816924205488","0.079066947187341","0.067238473553358","0.070773200039367","0.070880780891357","0.06609343709838","0.064066841821269","0.060451023248194","0.053565372909409","0.06277441024476","0.058990692960877","0.05433874907051","0.048003437065578","0.05459303704772","0.056829045802741","0.049801351982272","0.057855460529938","0.050092782210626","0.051275284718579","0.052808406875104","0.053963889477274"
"                Black (%)",,,,,,,,"0.3064","0.2707","0.269","0.2936","0.255389718076285","0.223091784816266","0.215309522749082","0.200699832458673","0.229557166722654","0.211602435854374","0.194865398746716","0.224716606950998","0.223937784931959","0.207667957759924","0.198651284179882","0.211911076534491","0.198970157052552","0.167970928802101","0.160690152909788","0.149779279698908","0.149951991645765","0.149906016781525","0.148917682211018","0.11890677008754","0.135336117295254","0.125163118709843","0.126275418301406","0.140756604165996","0.111480368078128","0.134906921599458","0.132707410580452","0.155473361549258","0.120910254340809","0.152670899813278","0.130072135191728","0.128337953719773","0.125110216752276","0.134580868876826","0.12078575131874","0.097184886880506","0.080232393402979","0.086717343440402","0.106227628246225","0.094706154342406","0.082979621469084","0.081279982664681","0.081794060937521","0.071324277078563","0.064234662005117","0.081870227059084","0.07022969739358","0.060105369202808","0.066424362847863","0.055806841424503"
"                Hispanic (%)",,,,,,,,,,,,,"0.336899902467218","0.304119657786716","0.337577703676259","0.26658543852555","0.302896247362163","0.315993215035419","0.336204194610598","0.330177223453133","0.372220797713906","0.360018459598991","0.305282767313125","0.342686834474034","0.306072746372958","0.298714333281236","0.328058973659192","0.291409216995845","0.360446711116825","0.343690412630615","0.34297735956298","0.39176304907357","0.321174816974578","0.281148503885187","0.315943681971377","0.299780996331977","0.303199530036471","0.269781674944505","0.335297917875893","0.310136113168465","0.31772697261094","0.315774935083322","0.295850515683834","0.266795354784118","0.285412337798025","0.264178417414333","0.257488163019801","0.246528025900234","0.198879683910353","0.190045283407642","0.173271139338443","0.145954801582192","0.139293929342008","0.12624855266856","0.118154002719495","0.099006058617162","0.100988148755125","0.114803520340181","0.103529515576212","0.07808843467983","0.088511611188742"
"                Asian (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.021275894157313","0.027546333705197","0.046341813741436",,"0.038881456635491",,"0.035864792477608","0.037794151755228",,"0.022779451968673","0.018746933725287","0.040345249264503","0.029474160739579","0.010754014331522","0.032846578306777","0.016783321189871","0.032054703196626"
"                Pacific Islander (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.269264428048418",,,,,,,,,,,
"                American Indian/Alaska Native (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.12553383976405","0.166044221036795","0.168295766012504",,"0.185967872140464","0.123478781051362","0.105549812349403","0.098758327910968",,,"0.136633416372079","0.14422622811387","0.223407666399398","0.132746003170292","0.0483690021573","0.07487708213877","0.156850850186561"
"                Two or more races (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.063273532237991","0.082578340009584","0.069718316607426",,"0.036005055390786","0.055303408282063",,"0.049310016355487",,"0.041875072124828","0.040648700889974","0.045412977172603","0.046093453088174","0.035665894677432","0.039762908219446","0.054995670056716","0.051073308288464"
